Country,Population,Births per Day,Deaths per Day,Immigrations per Day,Net Change per Day,2025 Population Change,Country Code,Total Emissions (MtCO2e),Emissions per Capita (tCO2e/person),Emissions per GDP (tCO2e/million $GDP),ND-GAIN Vulnerability Score,Population (millions),GDP per Capita (USD)
Afghanistan,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75
Albania,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16
Algeria,47255645.0,2342.0,603.0,,1663.0,121399.0,DZA,267.01,6.09,1841.31,0.38,44.62,3306.86
American Samoa,46241.0,2.0,1.0,,2.0,146.0,ASM,,,,,,
Andorra,82639.0,2.0,1.0,2.0,2.0,146.0,AND,0.58,7.48,199.78,,0.08,37416.7
Angola,38696293.0,3915.0,722.0,,3182.0,232286.0,AGO,119.41,3.63,2226.99,0.51,33.93,1631.43
Anguilla,,,,,,,AIA,,,,,,
Antarctica,,,,,,,ATA,,,,,,
Antigua and Barbuda,94082.0,3.0,2.0,,1.0,73.0,ATG,1.2,12.29,878.38,0.47,0.1,13992.74
Argentina,45805960.0,1391.0,978.0,8.0,421.0,30733.0,ARG,394.76,8.7,1013.27,0.38,45.81,8585.69
Armenia,2958791.0,96.0,76.0,,60.0,4380.0,ARM,10.46,3.53,827.7,0.37,2.97,4266.02
Aruba,108131.0,3.0,3.0,,0.0,0.0,ABW,,,,,,
Australia,26897677.0,833.0,502.0,375.0,707.0,51611.0,AUS,585.42,22.78,440.88,0.31,25.74,51680.32
Austria,9115521.0,206.0,255.0,31.0,18.0,1314.0,AUT,64.09,7.19,147.93,0.29,8.96,48588.66
Azerbaijan,10380345.0,329.0,192.0,24.0,161.0,11753.0,AZE,53.45,5.3,1251.89,0.38,10.15,4229.91
Bahamas,402543.0,12.0,10.0,3.0,5.0,365.0,BHS,2.83,7.19,291.46,0.45,0.4,24665.1
Bahrain,1633254.0,54.0,10.0,50.0,93.0,6789.0,BHR,54.15,31.82,1559.43,0.44,1.75,20406.5
Bangladesh,175054441.0,9422.0,2464.0,,5857.0,427561.0,BGD,224.35,1.36,600.04,0.53,166.3,2270.35
Barbados,282586.0,9.0,8.0,,0.0,0.0,BRB,3.65,12.72,779.32,0.39,0.29,16318.75
Belarus,9015277.0,171.0,326.0,,164.0,11972.0,BLR,86.3,9.2,1403.54,0.33,9.34,6555.43
Belgium,11753422.0,277.0,317.0,88.0,48.0,3504.0,BEL,100.27,8.69,192.2,0.33,11.59,45189.37
Belize,421222.0,21.0,6.0,1.0,16.0,1168.0,BLZ,6.96,17.5,4388.57,0.46,0.4,3987.8
Benin,14709876.0,1340.0,350.0,,969.0,70737.0,BEN,,,,,,
Bermuda,64581.0,1.0,2.0,,0.0,0.0,BMU,,,,,,
Bhutan,795061.0,27.0,13.0,1.0,15.0,1095.0,BTN,0.32,0.41,137.65,0.52,0.78,3000.78
"Bolivia, Plurinational State of",,,,,,,BOL,,,,,,
"Bonaire, Sint Eustatius and Saba",,,,,,,BES,,,,,,
Bosnia and Herzegovina,3147631.0,66.0,117.0,,70.0,5110.0,BIH,24.39,7.43,1222.36,0.35,3.26,6082.37
Botswana,2550057.0,168.0,40.0,,112.0,8176.0,BWA,53.52,22.76,3584.6,0.42,2.4,6348.83
Bouvet Island,,,,,,,BVT,,,,,,
Brazil,212581530.0,6923.0,4194.0,,2134.0,155782.0,BRA,1469.64,6.91,1014.55,0.37,213.99,6814.88
British Indian Ocean Territory,,,,,,,IOT,,,,,,
Brunei Darussalam,,,,,,,BRN,12.23,27.96,1018.84,0.39,0.44,27442.95
Bulgaria,6727925.0,165.0,281.0,,124.0,9052.0,BGR,12.61,1.82,180.47,0.34,6.9,10079.2
Burkina Faso,23919107.0,2031.0,517.0,,1440.0,105120.0,BFA,,,,,,
Burundi,14289858.0,1283.0,261.0,,927.0,67671.0,BDI,7.14,0.6,2566.33,0.56,12.26,233.84
Cabo Verde,,,,,,,CPV,,,,,,
Cambodia,17786812.0,971.0,318.0,,567.0,41391.0,KHM,,,,,,
Cameroon,29654940.0,2685.0,565.0,,2077.0,151621.0,CMR,128.4,4.84,3146.74,0.46,27.22,1537.13
Canada,40020045.0,989.0,894.0,893.0,988.0,72124.0,CAN,731.54,19.23,444.59,0.29,38.25,43258.26
Cayman Islands,75440.0,2.0,1.0,2.0,4.0,292.0,CYM,,,,,,
Central African Republic,5458786.0,685.0,140.0,,505.0,36865.0,CAF,,,,,,
Chad,20840539.0,2484.0,636.0,,1511.0,110303.0,TCD,114.0,6.94,10638.76,0.65,16.91,652.35
Chile,19833400.0,466.0,363.0,142.0,245.0,17885.0,CHL,,,,,,
China,1417068400.0,23845.0,32077.0,,8967.0,654591.0,CHN,,,,,,
Christmas Island,,,,,,,CXR,,,,,,
Cocos (Keeling) Islands,,,,,,,CCK,,,,,,
Colombia,53270296.0,1897.0,812.0,354.0,1438.0,104974.0,COL,,,,,,
Comoros,878060.0,67.0,17.0,,44.0,3212.0,COM,0.68,0.78,555.45,0.52,0.89,1407.41
Congo,,,,,,,COG,29.63,5.37,2826.07,0.53,5.66,1899.78
"Congo, Democratic Republic of the",,,,,,,COD,688.06,7.68,14123.57,0.56,92.38,543.95
Cook Islands,,,,,,,COK,0.07,,,,0.0,0.0
Costa Rica,5146322.0,139.0,80.0,3.0,61.0,4453.0,CRI,,,,,,
Croatia,3855942.0,85.0,147.0,,72.0,5256.0,HRV,17.05,4.21,297.98,0.38,3.9,14132.49
Cuba,10950075.0,256.0,314.0,,119.0,8687.0,CUB,,,,,,
Curaçao,,,,,,,CUW,,,,,,
Cyprus,1367186.0,38.0,26.0,21.0,33.0,2409.0,CYP,7.86,6.51,318.34,0.36,1.22,27681.57
Czechia,,,,,,,CZE,102.64,9.59,418.35,0.27,10.7,22933.5
Côte d'Ivoire,,,,,,,CIV,52.47,1.99,855.28,0.49,27.05,2325.72
Denmark,5995657.0,162.0,159.0,61.0,63.0,4599.0,DNK,43.19,7.41,121.3,0.34,5.86,61063.32
Djibouti,1179641.0,67.0,24.0,,41.0,2993.0,DJI,1.39,1.41,438.46,0.47,1.0,3219.7
Dominica,65976.0,2.0,2.0,,1.0,73.0,DMA,0.22,3.01,429.58,0.45,0.07,7003.86
Dominican Republic,11493675.0,545.0,200.0,,248.0,18104.0,DOM,35.5,3.27,450.21,0.42,10.95,7268.2
Ecuador,18244306.0,733.0,264.0,,422.0,30806.0,ECU,94.19,5.34,948.66,0.45,17.89,5627.77
Egypt,117852751.0,6708.0,1799.0,,4752.0,346896.0,EGY,,,,,,
El Salvador,6357751.0,268.0,131.0,,72.0,5256.0,SLV,12.15,1.87,493.21,0.42,6.52,3798.64
Equatorial Guinea,1924818.0,157.0,41.0,10.0,126.0,9198.0,GNQ,13.38,9.53,1324.59,0.41,1.45,7198.34
Eritrea,3584779.0,283.0,59.0,,206.0,15038.0,ERI,6.69,,,0.6,0.0,0.0
Estonia,1349929.0,29.0,45.0,,53.0,3869.0,EST,14.83,11.16,484.0,0.34,1.33,23054.36
Eswatini,1252122.0,80.0,27.0,,37.0,2701.0,SWZ,2.88,2.48,722.9,0.48,1.17,3434.72
Ethiopia,134462205.0,11435.0,2151.0,66.0,9350.0,682550.0,ETH,199.27,1.73,1850.92,0.55,117.88,936.45
Falkland Islands (Malvinas),,,,,,,FLK,,,,,,
Faroe Islands,55838.0,2.0,1.0,1.0,2.0,146.0,FRO,,,,,,
Fiji,931894.0,45.0,24.0,,12.0,876.0,FJI,-0.81,-0.9,-176.28,0.46,0.9,5102.84
Finland,5622887.0,120.0,166.0,50.0,4.0,292.0,FIN,61.7,11.16,226.96,0.28,5.54,49160.84
France,66621292.0,1737.0,1715.0,251.0,273.0,19929.0,FRA,314.57,4.67,119.59,0.3,67.5,39037.12
French Guiana,312140.0,21.0,4.0,,14.0,1022.0,GUF,,,,,,
French Polynesia,282276.0,8.0,3.0,,2.0,146.0,PYF,,,,,,
French Southern Territories,,,,,,,ATF,,,,,,
Gabon,2577110.0,189.0,44.0,3.0,148.0,10804.0,GAB,21.16,9.51,1381.31,0.45,2.28,6881.71
Gambia,2803744.0,226.0,48.0,,170.0,12410.0,GMB,2.98,1.23,1628.62,0.53,2.49,757.41
Georgia,3807161.0,115.0,123.0,4.0,5.0,365.0,GEO,17.69,4.75,1116.44,0.4,3.71,4255.74
Germany,84272531.0,1938.0,2852.0,,1828.0,133444.0,DEU,681.18,8.19,177.09,0.29,83.13,46252.69
Ghana,34876300.0,2458.0,671.0,,1741.0,127093.0,GHA,14.41,0.46,205.78,0.45,31.73,2254.15
Gibraltar,39897.0,1.0,1.0,2.0,2.0,146.0,GIB,,,,,,
Greece,9950827.0,187.0,343.0,46.0,111.0,8103.0,GRC,70.56,6.59,373.64,0.33,10.66,17647.23
Greenland,55775.0,2.0,2.0,,0.0,0.0,GRL,,,,,,
Grenada,117279.0,4.0,3.0,,0.0,0.0,GRD,2.4,21.31,2297.55,0.38,0.11,9273.2
Guadeloupe,374182.0,11.0,10.0,,4.0,292.0,GLP,,,,,,
Guam,168644.0,8.0,3.0,,3.0,219.0,GUM,,,,,,
Guatemala,18604897.0,1041.0,250.0,,769.0,56137.0,GTM,36.78,2.18,473.98,0.43,17.11,4603.34
Guernsey,64428.0,1.0,2.0,1.0,0.0,0.0,GGY,,,,,,
Guinea,14998163.0,1354.0,369.0,,940.0,68620.0,GIN,41.79,3.18,2949.24,0.55,13.5,1078.95
Guinea-Bissau,2235208.0,179.0,43.0,,133.0,9709.0,GNB,4.26,2.16,2973.08,0.63,2.02,727.52
Guyana,834538.0,45.0,17.0,,13.0,949.0,GUY,18.17,23.09,3320.14,0.42,0.79,6955.94
Haiti,11866963.0,705.0,255.0,,362.0,26426.0,HTI,10.9,0.96,751.43,0.51,11.54,1272.37
Heard Island and McDonald Islands,,,,,,,HMD,,,,,,
Holy See,,,,,,,VAT,,,,,,
Honduras,10952675.0,642.0,137.0,,492.0,35916.0,HND,27.67,2.79,1161.33,0.45,10.06,2405.73
Hong Kong,7396475.0,107.0,159.0,49.0,4.0,292.0,HKG,,,,,,
Hungary,9650185.0,231.0,352.0,,166.0,12118.0,HUN,61.39,6.3,391.69,0.35,9.71,16075.97
Iceland,396957.0,12.0,7.0,7.0,12.0,876.0,ISL,3.27,8.92,150.56,0.31,0.37,59264.03
India,1460067336.0,63171.0,26604.0,,35210.0,2570330.0,IND,3166.95,2.29,1187.15,0.5,1393.41,1933.1
Indonesia,285071069.0,12158.0,6032.0,,6018.0,439314.0,IDN,1475.83,5.4,1394.02,0.44,276.36,3870.56
"Iran, Islamic Republic of",,,,,,,IRN,844.71,10.06,3648.09,0.38,85.03,2756.75
Iraq,46728277.0,3251.0,540.0,,2709.0,197757.0,IRQ,261.79,6.51,1419.89,0.44,41.18,4583.75
Ireland,5293002.0,144.0,102.0,97.0,139.0,10147.0,IRL,66.46,13.33,156.06,0.3,5.03,85422.54
Isle of Man,84134.0,2.0,2.0,,0.0,0.0,IMN,,,,,,
Israel,9478770.0,469.0,145.0,31.0,356.0,25988.0,ISR,83.75,9.09,205.71,0.3,9.36,44177.57
Italy,59208000.0,1047.0,1825.0,207.0,571.0,41683.0,ITA,339.21,5.71,179.23,0.33,59.07,31834.97
Jamaica,2837938.0,87.0,65.0,,8.0,584.0,JAM,7.58,2.56,548.56,0.43,2.97,4664.53
Japan,123298996.0,2048.0,4248.0,385.0,1815.0,132495.0,JPN,1062.78,8.42,210.86,0.38,125.68,39918.17
Jersey,103951.0,2.0,3.0,1.0,0.0,0.0,JEY,,,,,,
Jordan,11552709.0,635.0,101.0,,296.0,21608.0,JOR,,,,,,
Kazakhstan,20771166.0,1082.0,385.0,,673.0,49129.0,KAZ,291.82,15.56,1705.74,0.32,19.0,9121.64
